Year,Deep Learning,Reinforcement Learning,Transfer Learning,Causality
1990,0,0,0,0
1991,0,0,0,1
1992,0,0,0,14
1993,0,0,0,34
1994,1,1,0,41
1995,0,2,1,57
1996,1,2,0,75
1997,1,1,3,90
1998,1,2,2,113
1999,0,8,0,137
2000,1,2,2,156
2001,2,5,4,162
2002,0,8,4,153
2003,4,6,2,188
2004,3,5,2,183
2005,2,5,4,196
2006,2,9,2,200
2007,2,10,3,220
2008,7,16,4,231
2009,6,14,7,308
2010,10,20,13,378
2011,12,44,12,340
2012,23,82,38,480
2013,61,71,31,469
2014,173,87,46,495
2015,524,107,98,519
2016,1193,281,206,613
2017,2700,649,466,704
2018,5072,1284,926,835
2019,7459,2083,1520,1034
2020,10351,3015,2307,1435
2021,11528,3508,2819,1733
2022,12670,4303,3285,2274
2023,6615,2529,1875,1447
